Claim_ID,Customer_ID,Flight_Number,Claim_Date,Incident_Date,Claim_Type,Operation_Segment,Description_of_Incident,Compensation_Requested,Compensation_Offered,Status,Resolution_Date,Customer_Contact_Details,Assigned_Agent_ID,Notes,Supporting_Documents_URL,Priority
1,91,AZF9958,2023-08-24,2023-08-14,In-flight Service,Flight Attendant,"In-flight service was poor, with rude flight attendants and unavailability of meals.",272.03,273.23,In Process,,"{""email"": ""wfreeman@williams.com"", ""phone"": ""(198)806-0930x90663""}",,No further action required; the customer was satisfied with the offered resolution.,,Low
2,86,isq6602,2023-08-05,2023-08-04,Cancellation,Customer Service,I was assigned a broken seat that could not be reclined during a 6-hour flight.,223.22,272.47,Closed,2023-08-13,"{""email"": ""hmontoya@gmail.com"", ""phone"": ""711.063.4577""}",,Agent has escalated the case to the supervisor for further review.,https://watson-sanchez.com/,Medium
3,79,HEr9185,2023-08-25,2023-08-20,In-flight Service,Sales,I was assigned a broken seat that could not be reclined during a 6-hour flight.,374.19,136.36,In Process,2023-08-25,"{""email"": ""mathew20@gmail.com"", ""phone"": ""193.745.2908""}",,Customer accepted the compensation but requested better communication in the future.,https://berry-fox.info/,
4,1,Aro3205,2023-08-18,2023-08-13,Cancellation,Customer Service,The flight was delayed for over 3 hours without any clear communication from the staff.,363.9,485.41,In Process,2023-08-19,"{""email"": ""dorisrodriguez@gmail.com"", ""phone"": ""001-201-815-6639x38054""}",,,,
5,14,Von0696,2023-08-20,2023-08-12,Delay,Flight Attendant,"In-flight service was poor, with rude flight attendants and unavailability of meals.",243.39,282.31,Submitted,,"{""email"": ""nathanpeterson@parker-lewis.com"", ""phone"": ""(625)507-4087x40896""}",,Customer accepted the compensation but requested better communication in the future.,http://schultz.net/,Medium
6,45,VPT7813,2023-08-23,2023-08-19,Cancellation,Boarding,"The flight was canceled due to bad weather, and I was not offered any alternative flights or accommodation.",225.55,90.86,Submitted,,"{""email"": ""christopherchapman@gmail.com"", ""phone"": ""(538)621-0070x589""}",,,https://zamora.com/,
7,25,TGH2361,2023-08-12,2023-08-11,Baggage,Flight Attendant,"Baggage was lost and not found for 2 days, causing significant inconvenience.",103.19,85.49,Submitted,,"{""email"": ""ricejudith@gmail.com"", ""phone"": ""001-861-788-6736x64753""}",36.0,Waiting for a response from the baggage department regarding the lost luggage.,http://www.jones-weber.org/,
8,32,EJc3569,2023-08-26,2023-08-19,Baggage,Flight Attendant,"Baggage was lost and not found for 2 days, causing significant inconvenience.",243.52,280.82,In Process,2023-09-01,"{""email"": ""maciasbrianna@gmail.com"", ""phone"": ""682.224.9597x785""}",,,,Medium
9,57,UrM1837,2023-08-10,2023-08-09,Baggage,Flight Attendant,I was assigned a broken seat that could not be reclined during a 6-hour flight.,491.1,394.58,Submitted,,"{""email"": ""davidcastro@hotmail.com"", ""phone"": ""852-219-5185x49132""}",33.0,No further action required; the customer was satisfied with the offered resolution.,http://www.lam.biz/,Low
10,87,FIF6297,2023-08-05,2023-07-28,Cancellation,Customer Service,I was assigned a broken seat that could not be reclined during a 6-hour flight.,242.12,464.6,Submitted,,"{""email"": ""emily16@sloan.net"", ""phone"": ""5445914858""}",,No further action required; the customer was satisfied with the offered resolution.,,
11,48,dlT5260,2023-08-22,2023-08-19,Delay,Flight Attendant,I was assigned a broken seat that could not be reclined during a 6-hour flight.,372.54,497.59,Closed,2023-08-26,"{""email"": ""thorntonbrooke@hotmail.com"", ""phone"": ""619-000-3818x134""}",41.0,,http://zuniga.com/,
12,96,bdi1123,2023-08-09,2023-07-31,Baggage,Check-in,"In-flight service was poor, with rude flight attendants and unavailability of meals.",262.47,473.44,Closed,,"{""email"": ""patricia04@hotmail.com"", ""phone"": ""001-273-615-2663x71922""}",,,,Low
13,93,mts7302,2023-08-21,2023-08-17,Baggage,Customer Service,"The flight was canceled due to bad weather, and I was not offered any alternative flights or accommodation.",57.36,357.67,Submitted,2023-08-26,"{""email"": ""ccarter@patton.biz"", ""phone"": ""001-770-340-9266""}",9.0,,,Medium
14,61,exx0957,2023-08-02,2023-07-30,Baggage,Boarding,"Baggage was lost and not found for 2 days, causing significant inconvenience.",409.81,107.42,Submitted,2023-08-09,"{""email"": ""jallen@hotmail.com"", ""phone"": ""972.858.4831x98410""}",10.0,,,
15,69,YzE4257,2023-08-15,2023-08-10,Delay,Flight Attendant,"The flight was canceled due to bad weather, and I was not offered any alternative flights or accommodation.",134.05,54.05,Submitted,,"{""email"": ""patrick17@stokes-jones.com"", ""phone"": ""679-601-3945""}",49.0,Customer accepted the compensation but requested better communication in the future.,,Medium
16,44,QNg8758,2023-08-26,2023-08-20,In-flight Service,Sales,"Baggage was lost and not found for 2 days, causing significant inconvenience.",166.02,432.07,Closed,,"{""email"": ""annette71@hotmail.com"", ""phone"": ""057-701-4589x1441""}",14.0,Customer accepted the compensation but requested better communication in the future.,http://www.anderson.com/,
17,42,bmG4365,2023-08-21,2023-08-11,Baggage,Check-in,I was assigned a broken seat that could not be reclined during a 6-hour flight.,156.69,115.76,Closed,,"{""email"": ""marie81@gmail.com"", ""phone"": ""389-378-6624x4605""}",,,,Medium
18,82,fBz5839,2023-08-11,2023-08-04,Baggage,Boarding,"Baggage was lost and not found for 2 days, causing significant inconvenience.",273.4,400.22,Submitted,2023-08-21,"{""email"": ""msteele@yahoo.com"", ""phone"": ""001-049-726-5253x46942""}",24.0,Customer is very frustrated and demands full compensation.,http://cox.com/,
19,48,tSJ7423,2023-08-16,2023-08-12,Baggage,Check-in,The flight was delayed for over 3 hours without any clear communication from the staff.,288.52,29.76,Closed,2023-08-24,"{""email"": ""jonestina@pearson.info"", ""phone"": ""371-472-9453""}",3.0,,http://smith-bauer.com/,
20,53,nxI1868,2023-08-12,2023-08-04,In-flight Service,Flight Attendant,"Baggage was lost and not found for 2 days, causing significant inconvenience.",331.64,488.69,In Process,,"{""email"": ""georgemitchell@hotmail.com"", ""phone"": ""001-596-087-7348x7889""}",,,http://hart.com/,Medium
21,60,SKT8007,2023-08-13,2023-08-07,Delay,Boarding,The flight was delayed for over 3 hours without any clear communication from the staff.,295.33,290.13,Submitted,,"{""email"": ""leenathan@gmail.com"", ""phone"": ""(632)015-1110x65419""}",,,,
22,34,UDu6113,2023-08-22,2023-08-21,Cancellation,Flight Attendant,I was assigned a broken seat that could not be reclined during a 6-hour flight.,299.23,398.02,Submitted,,"{""email"": ""jessica99@gmail.com"", ""phone"": ""666-450-3269""}",22.0,No further action required; the customer was satisfied with the offered resolution.,http://spence.com/,High
23,92,kgD5825,2023-08-23,2023-08-18,In-flight Service,Customer Service,"The flight was canceled due to bad weather, and I was not offered any alternative flights or accommodation.",165.65,232.85,In Process,,"{""email"": ""allisonkelly@bennett-casey.info"", ""phone"": ""001-392-036-4396x2338""}",2.0,Waiting for a response from the baggage department regarding the lost luggage.,https://henderson.com/,High
24,53,hsu5020,2023-08-08,2023-08-01,Cancellation,Flight Attendant,"The flight was canceled due to bad weather, and I was not offered any alternative flights or accommodation.",290.13,9.02,Submitted,,"{""email"": ""dtaylor@edwards.com"", ""phone"": ""001-961-049-9959x5771""}",,,,
25,72,ycs9661,2023-08-01,2023-07-28,Delay,Check-in,"Baggage was lost and not found for 2 days, causing significant inconvenience.",467.24,402.37,Closed,,"{""email"": ""carolyn69@mcdowell.com"", ""phone"": ""(878)399-4436""}",20.0,Customer accepted the compensation but requested better communication in the future.,https://www.lara.com/,High
26,37,tmw1190,2023-08-09,2023-08-06,Cancellation,Check-in,I was assigned a broken seat that could not be reclined during a 6-hour flight.,284.18,16.71,Submitted,,"{""email"": ""kaylee57@andrews.com"", ""phone"": ""(123)298-3973x93555""}",35.0,Agent has escalated the case to the supervisor for further review.,,Low
27,29,YqJ1541,2023-08-20,2023-08-18,Delay,Flight Attendant,I was assigned a broken seat that could not be reclined during a 6-hour flight.,213.8,398.03,Submitted,2023-08-30,"{""email"": ""bakerjeremy@yahoo.com"", ""phone"": ""334.262.6563x27955""}",6.0,Customer accepted the compensation but requested better communication in the future.,http://campbell-vaughn.com/,
28,65,YbX3957,2023-08-15,2023-08-07,In-flight Service,Flight Attendant,"The flight was canceled due to bad weather, and I was not offered any alternative flights or accommodation.",202.36,138.01,Submitted,2023-08-20,"{""email"": ""teresacampbell@hotmail.com"", ""phone"": ""446-058-1682x8707""}",28.0,,,High
29,33,xcG6447,2023-08-07,2023-08-03,In-flight Service,Check-in,"In-flight service was poor, with rude flight attendants and unavailability of meals.",243.23,402.67,In Process,,"{""email"": ""marthawalker@rollins.com"", ""phone"": ""6847839313""}",,,http://smith.biz/,Medium
30,81,IAt6710,2023-08-10,2023-08-09,Delay,Flight Attendant,"Baggage was lost and not found for 2 days, causing significant inconvenience.",200.05,226.02,Submitted,,"{""email"": ""reginamueller@gmail.com"", ""phone"": ""125-422-6631x191""}",,,http://walker.org/,High
31,60,Fhz5505,2023-08-10,2023-08-08,Delay,Flight Attendant,The flight was delayed for over 3 hours without any clear communication from the staff.,324.08,204.44,In Process,,"{""email"": ""jeffersonhannah@hotmail.com"", ""phone"": ""111-165-1635x36526""}",,,,Low
32,26,GVB4544,2023-08-26,2023-08-22,In-flight Service,Boarding,"The flight was canceled due to bad weather, and I was not offered any alternative flights or accommodation.",332.96,346.29,Closed,2023-08-27,"{""email"": ""bdurham@gmail.com"", ""phone"": ""668-794-4466x129""}",13.0,,,
33,9,Gtt7476,2023-08-25,2023-08-22,Cancellation,Flight Attendant,"In-flight service was poor, with rude flight attendants and unavailability of meals.",51.76,266.8,Closed,,"{""email"": ""samantha59@hamilton.com"", ""phone"": ""(678)533-3377x0333""}",47.0,Waiting for a response from the baggage department regarding the lost luggage.,,
34,38,lPB5674,2023-08-06,2023-08-04,Delay,Sales,I was assigned a broken seat that could not be reclined during a 6-hour flight.,216.69,203.72,Closed,2023-08-07,"{""email"": ""fbuck@gmail.com"", ""phone"": ""116.320.3309x059""}",26.0,,http://holmes.info/,Low
35,74,hRP0277,2023-08-18,2023-08-16,Baggage,Boarding,The flight was delayed for over 3 hours without any clear communication from the staff.,444.59,435.5,In Process,2023-08-18,"{""email"": ""michaelnunez@gmail.com"", ""phone"": ""784.018.7241""}",,Agent has escalated the case to the supervisor for further review.,,
36,33,qQf5602,2023-08-22,2023-08-21,In-flight Service,Boarding,"The flight was canceled due to bad weather, and I was not offered any alternative flights or accommodation.",372.54,405.08,In Process,2023-08-23,"{""email"": ""xgreen@todd.com"", ""phone"": ""157.284.9851x17486""}",38.0,No further action required; the customer was satisfied with the offered resolution.,https://powell.com/,
37,2,QDB3128,2023-08-01,2023-07-31,In-flight Service,Customer Service,"Baggage was lost and not found for 2 days, causing significant inconvenience.",77.26,306.53,In Process,2023-08-07,"{""email"": ""timothy08@hotmail.com"", ""phone"": ""+1-847-854-7549""}",49.0,,http://gamble.com/,Medium
38,49,awL5084,2023-08-13,2023-08-12,Cancellation,Customer Service,"Baggage was lost and not found for 2 days, causing significant inconvenience.",385.33,174.51,In Process,2023-08-16,"{""email"": ""hpeterson@gmail.com"", ""phone"": ""001-665-991-9931x986""}",32.0,Waiting for a response from the baggage department regarding the lost luggage.,,
39,98,ZSe5869,2023-08-12,2023-08-02,Baggage,Check-in,"Baggage was lost and not found for 2 days, causing significant inconvenience.",113.78,468.53,In Process,,"{""email"": ""ginahuffman@patterson.org"", ""phone"": ""001-615-621-2137x6402""}",,Customer accepted the compensation but requested better communication in the future.,,
